,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,Source_Names,Destination_Names
26700,6313707.0,320914,0,713701,1481342212,2016-12-10 03:56:52,12/10/2016,12/2016,12,2016,Cora Cross,Jane Tyler
26701,11349726.0,320914,1,713701,1496567094,2017-06-04 09:04:54,06/04/2017,06/2017,6,2017,Cora Cross,Jane Tyler
26702,11387488.0,320914,1,713701,1496778655,2017-06-06 19:50:55,06/06/2017,06/2017,6,2017,Cora Cross,Jane Tyler
26703,9630348.0,320914,0,713701,1507066629,2017-10-03 21:37:09,10/03/2017,10/2017,10,2017,Cora Cross,Jane Tyler
26704,13937600.0,320914,1,713701,1511179486,2017-11-20 12:04:46,11/20/2017,11/2017,11,2017,Cora Cross,Jane Tyler
26705,10222802.0,320914,0,713701,1511671861,2017-11-26 04:51:01,11/26/2017,11/2017,11,2017,Cora Cross,Jane Tyler
170760,6877416.0,320914,0,713563,1485721312,2017-01-29 20:21:52,01/29/2017,01/2017,1,2017,Cora Cross,Maia Ballerini
170761,7733260.0,320914,0,713563,1492354082,2017-04-16 14:48:02,04/16/2017,04/2017,4,2017,Cora Cross,Maia Ballerini
170762,8016820.0,320914,0,713563,1494564749,2017-05-12 04:52:29,05/12/2017,05/2017,5,2017,Cora Cross,Maia Ballerini
170763,8939384.0,320914,0,713563,1501721370,2017-08-03 00:49:30,08/03/2017,08/2017,8,2017,Cora Cross,Maia Ballerini
248713,6834921.0,320914,1,1376868,1470979813,2016-08-12 05:30:13,08/12/2016,08/2016,8,2016,Cora Cross,Timothy Gibson
248714,7349763.0,320914,1,1376868,1473906117,2016-09-15 02:21:57,09/15/2016,09/2016,9,2016,Cora Cross,Timothy Gibson
248715,8499051.0,320914,1,1376868,1480436955,2016-11-29 16:29:15,11/29/2016,11/2016,11,2016,Cora Cross,Timothy Gibson
248716,6908774.0,320914,0,1376868,1485965167,2017-02-01 16:06:07,02/01/2017,02/2017,2,2017,Cora Cross,Timothy Gibson
248717,11344749.0,320914,1,1376868,1496539179,2017-06-04 01:19:39,06/04/2017,06/2017,6,2017,Cora Cross,Timothy Gibson
248718,13664505.0,320914,1,1376868,1509634545,2017-11-02 14:55:45,11/02/2017,11/2017,11,2017,Cora Cross,Timothy Gibson
