,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,index,Source_Names,Destination_Names
0,3347929,715369,calls,611753,1458179302,2016-03-17 01:48:22,03/17/2016,03/2016,3,2016,,Juli Dillavou,Louise Lyons
1,3360839,715369,calls,741236,1458280901,2016-03-18 06:01:41,03/18/2016,03/2016,3,2016,,Juli Dillavou,Austin Cox
2,3547996,715369,calls,723448,1459749178,2016-04-04 05:52:58,04/04/2016,04/2016,4,2016,,Juli Dillavou,Derek Black
3,3639334,715369,calls,734045,1460466197,2016-04-12 13:03:17,04/12/2016,04/2016,4,2016,,Juli Dillavou,Lekisha Lisle
4,3846673,715369,calls,700085,1462087528,2016-05-01 07:25:28,05/01/2016,05/2016,5,2016,,Juli Dillavou,Pamula Jines
5,3925353,715369,calls,713743,1462705772,2016-05-08 11:09:32,05/08/2016,05/2016,5,2016,,Juli Dillavou,Sherilyn Coopwood
6,3929376,715369,calls,713639,1462738323,2016-05-08 20:12:03,05/08/2016,05/2016,5,2016,,Juli Dillavou,Juan Walsh
7,3972230,715369,calls,711165,1463072341,2016-05-12 16:59:01,05/12/2016,05/2016,5,2016,,Juli Dillavou,Amee Panagakos
8,4756067,715369,emails,766743,1459141827,2016-03-28 05:10:27,03/28/2016,03/2016,3,2016,,Juli Dillavou,Maud Satow
9,4940490,715369,emails,764840,1460192734,2016-04-09 09:05:34,04/09/2016,04/2016,4,2016,,Juli Dillavou,Yuonne Kornbluth
10,4988076,715369,emails,672678,1460466180,2016-04-12 13:03:00,04/12/2016,04/2016,4,2016,,Juli Dillavou,Micheal Salverson
11,263647,715369,purchases,2038176,1460466197,2016-04-12 13:03:17,04/12/2016,04/2016,4,2016,263647.0,Juli Dillavou,Corey Jefferson
12,3360843,713056,calls,715369,1458280938,2016-03-18 06:02:18,03/18/2016,03/2016,3,2016,,Julia Hunter,Juli Dillavou
13,3547999,725272,calls,715369,1459749207,2016-04-04 05:53:27,04/04/2016,04/2016,4,2016,,Tomi Passon,Juli Dillavou
14,3925355,738398,calls,715369,1462705787,2016-05-08 11:09:47,05/08/2016,05/2016,5,2016,,Miguelina Hullings,Juli Dillavou
15,3972227,694323,calls,715369,1463072336,2016-05-12 16:58:56,05/12/2016,05/2016,5,2016,,Tessa Bocklage,Juli Dillavou
16,4577752,740636,emails,715369,1458116368,2016-03-16 08:19:28,03/16/2016,03/2016,3,2016,,Chung Milhorn,Juli Dillavou
17,4588717,643889,emails,715369,1458179365,2016-03-17 01:49:25,03/17/2016,03/2016,3,2016,,Wiley Deromer,Juli Dillavou
18,4940489,769135,emails,715369,1460192724,2016-04-09 09:05:24,04/09/2016,04/2016,4,2016,,Dylan Watts,Juli Dillavou
19,4955252,636033,emails,715369,1460277259,2016-04-10 08:34:19,04/10/2016,04/2016,4,2016,,Buford Winch,Juli Dillavou
20,5096697,1256646,emails,715369,1461083239,2016-04-19 16:27:19,04/19/2016,04/2016,4,2016,,Brent Roberson,Juli Dillavou
21,5272153,736462,emails,715369,1462087582,2016-05-01 07:26:22,05/01/2016,05/2016,5,2016,,Jennie Peters,Juli Dillavou
22,5385747,696203,emails,715369,1462738308,2016-05-08 20:11:48,05/08/2016,05/2016,5,2016,,Wilber Wanker,Juli Dillavou
