,Unnamed: 0,Source,Etype,Destination,TimeStamp,full_date,month_day_yr,month_yr,month,yr,index,Source_Names,Destination_Names
0,3313561,712948,calls,714225,1457912146,2016-03-13 23:35:46,03/13/2016,03/2016,3,2016,,Shane Labella,Chandra Durepo
1,3313680,712948,calls,720866,1457912888,2016-03-13 23:48:08,03/13/2016,03/2016,3,2016,,Shane Labella,Lanette Dickman
2,3320012,712948,calls,670380,1457961512,2016-03-14 13:18:32,03/14/2016,03/2016,3,2016,,Shane Labella,Mark Douglas
3,3323612,712948,calls,793989,1457988830,2016-03-14 20:53:50,03/14/2016,03/2016,3,2016,,Shane Labella,Jesse Silva
4,3325665,712948,calls,728790,1458005449,2016-03-15 01:30:49,03/15/2016,03/2016,3,2016,,Shane Labella,Clarence Lee
5,3327995,712948,calls,748818,1458024043,2016-03-15 06:40:43,03/15/2016,03/2016,3,2016,,Shane Labella,Hsiu Reinsfelder
6,3340039,712948,calls,721309,1458118480,2016-03-16 08:54:40,03/16/2016,03/2016,3,2016,,Shane Labella,Jean Patrick
7,3343466,712948,calls,714935,1458144403,2016-03-16 16:06:43,03/16/2016,03/2016,3,2016,,Shane Labella,Josephine Holloway
8,3348072,712948,calls,722661,1458180416,2016-03-17 02:06:56,03/17/2016,03/2016,3,2016,,Shane Labella,Chana Birdsong
9,3348552,712948,calls,733237,1458184162,2016-03-17 03:09:22,03/17/2016,03/2016,3,2016,,Shane Labella,Phillip Chandler
10,3350503,712948,calls,786381,1458199872,2016-03-17 07:31:12,03/17/2016,03/2016,3,2016,,Shane Labella,Kelle Montavon
11,3366786,712948,calls,728811,1458329604,2016-03-18 19:33:24,03/18/2016,03/2016,3,2016,,Shane Labella,Damon Bergstrom
12,3372709,712948,calls,777074,1458376161,2016-03-19 08:29:21,03/19/2016,03/2016,3,2016,,Shane Labella,Caleb Brock
13,3373196,712948,calls,712934,1458379761,2016-03-19 09:29:21,03/19/2016,03/2016,3,2016,,Shane Labella,Merlin Topal
14,3381369,712948,calls,738917,1458442854,2016-03-20 03:00:54,03/20/2016,03/2016,3,2016,,Shane Labella,Erasmo Jiles
15,3384363,712948,calls,760261,1458466467,2016-03-20 09:34:27,03/20/2016,03/2016,3,2016,,Shane Labella,Marya Brzoska
16,3391216,712948,calls,793647,1458522052,2016-03-21 01:00:52,03/21/2016,03/2016,3,2016,,Shane Labella,Natosha Shry
17,3397205,712948,calls,730360,1458568310,2016-03-21 13:51:50,03/21/2016,03/2016,3,2016,,Shane Labella,Jessika Weisgerber
18,3398349,712948,calls,715666,1458577433,2016-03-21 16:23:53,03/21/2016,03/2016,3,2016,,Shane Labella,Clair Mullenbach
19,3398353,712948,calls,680325,1458577463,2016-03-21 16:24:23,03/21/2016,03/2016,3,2016,,Shane Labella,Frederica Davaz
20,3398438,712948,calls,787567,1458578111,2016-03-21 16:35:11,03/21/2016,03/2016,3,2016,,Shane Labella,Wynell Hoglen
21,3398924,712948,calls,609145,1458582108,2016-03-21 17:41:48,03/21/2016,03/2016,3,2016,,Shane Labella,Jeanette Hunt
22,3407866,712948,calls,674955,1458651753,2016-03-22 13:02:33,03/22/2016,03/2016,3,2016,,Shane Labella,Lucinda Shaw
23,3411587,712948,calls,719657,1458680946,2016-03-22 21:09:06,03/22/2016,03/2016,3,2016,,Shane Labella,John Sharf
24,3415248,712948,calls,723942,1458710260,2016-03-23 05:17:40,03/23/2016,03/2016,3,2016,,Shane Labella,Lottie West
25,3419253,712948,calls,631840,1458741641,2016-03-23 14:00:41,03/23/2016,03/2016,3,2016,,Shane Labella,Bianca Colmenares
26,3419263,712948,calls,742648,1458741705,2016-03-23 14:01:45,03/23/2016,03/2016,3,2016,,Shane Labella,Jessie Miller
27,3424104,712948,calls,761879,1458779446,2016-03-24 00:30:46,03/24/2016,03/2016,3,2016,,Shane Labella,Eulah Soren
28,3425124,712948,calls,723012,1458787519,2016-03-24 02:45:19,03/24/2016,03/2016,3,2016,,Shane Labella,Yvonne Sanfiorenzo
29,3431716,712948,calls,712496,1458839156,2016-03-24 17:05:56,03/24/2016,03/2016,3,2016,,Shane Labella,Sage Lampkins
30,3432156,712948,calls,368351,1458842421,2016-03-24 18:00:21,03/24/2016,03/2016,3,2016,,Shane Labella,Odell Knoeppel
31,3443416,712948,calls,684949,1458929335,2016-03-25 18:08:55,03/25/2016,03/2016,3,2016,,Shane Labella,Essie Griffin
32,3443583,712948,calls,639664,1458930935,2016-03-25 18:35:35,03/25/2016,03/2016,3,2016,,Shane Labella,Barbara Tranter
33,3447212,712948,calls,686250,1458959730,2016-03-26 02:35:30,03/26/2016,03/2016,3,2016,,Shane Labella,Andra Seese
34,3449910,712948,calls,713429,1458981713,2016-03-26 08:41:53,03/26/2016,03/2016,3,2016,,Shane Labella,Amelia Wright
35,5428779,712948,emails,713429,1462984946,2016-05-11 16:42:26,05/11/2016,05/2016,5,2016,,Shane Labella,Amelia Wright
36,3451017,712948,calls,731607,1458990211,2016-03-26 11:03:31,03/26/2016,03/2016,3,2016,,Shane Labella,Luana Betancur
37,3459842,712948,calls,758293,1459060289,2016-03-27 06:31:29,03/27/2016,03/2016,3,2016,,Shane Labella,Graig Stoval
38,3461475,712948,calls,731919,1459073086,2016-03-27 10:04:46,03/27/2016,03/2016,3,2016,,Shane Labella,Odessa Soledad
39,3462162,712948,calls,726608,1459078530,2016-03-27 11:35:30,03/27/2016,03/2016,3,2016,,Shane Labella,Troy Catignani
40,3468782,712948,calls,750589,1459128593,2016-03-28 01:29:53,03/28/2016,03/2016,3,2016,,Shane Labella,Arthur Logan
41,3476066,712948,calls,720209,1459183234,2016-03-28 16:40:34,03/28/2016,03/2016,3,2016,,Shane Labella,Viola Perez
42,3476281,712948,calls,713294,1459185048,2016-03-28 17:10:48,03/28/2016,03/2016,3,2016,,Shane Labella,Leroy Hamilton
43,4753178,712948,emails,713294,1459125723,2016-03-28 00:42:03,03/28/2016,03/2016,3,2016,,Shane Labella,Leroy Hamilton
44,3476365,712948,calls,605062,1459185688,2016-03-28 17:21:28,03/28/2016,03/2016,3,2016,,Shane Labella,Merlyn Gastley
45,3486049,712948,calls,675398,1459261742,2016-03-29 14:29:02,03/29/2016,03/2016,3,2016,,Shane Labella,Ophelia Nichols
46,3487020,712948,calls,700331,1459269940,2016-03-29 16:45:40,03/29/2016,03/2016,3,2016,,Shane Labella,Todd Underwood
47,3489275,712948,calls,707719,1459288887,2016-03-29 22:01:27,03/29/2016,03/2016,3,2016,,Shane Labella,Kizzie Spohn
48,3497009,712948,calls,705321,1459348811,2016-03-30 14:40:11,03/30/2016,03/2016,3,2016,,Shane Labella,Joseph Huff
49,3497380,712948,calls,714369,1459351398,2016-03-30 15:23:18,03/30/2016,03/2016,3,2016,,Shane Labella,Tamekia Gompert
50,3503987,712948,calls,711948,1459403171,2016-03-31 05:46:11,03/31/2016,03/2016,3,2016,,Shane Labella,Rolande Gronewald
51,3506289,712948,calls,765360,1459421779,2016-03-31 10:56:19,03/31/2016,03/2016,3,2016,,Shane Labella,Maggie Ryan
52,3515458,712948,calls,712035,1459494075,2016-04-01 07:01:15,04/01/2016,04/2016,4,2016,,Shane Labella,Ronald Moody
53,3518693,712948,calls,771696,1459520039,2016-04-01 14:13:59,04/01/2016,04/2016,4,2016,,Shane Labella,Rosenda Reid
54,3522732,712948,calls,706321,1459551651,2016-04-01 23:00:51,04/01/2016,04/2016,4,2016,,Shane Labella,Arline Buening
55,3523060,712948,calls,715527,1459554332,2016-04-01 23:45:32,04/01/2016,04/2016,4,2016,,Shane Labella,Concetta Kagle
56,3523909,712948,calls,602573,1459561263,2016-04-02 01:41:03,04/02/2016,04/2016,4,2016,,Shane Labella,Majorie Rolfe
57,3531786,712948,calls,695013,1459621043,2016-04-02 18:17:23,04/02/2016,04/2016,4,2016,,Shane Labella,Laure Pelkey
58,3533760,712948,calls,679403,1459636668,2016-04-02 22:37:48,04/02/2016,04/2016,4,2016,,Shane Labella,Georgiana Bleich
59,3534373,712948,calls,664920,1459640935,2016-04-02 23:48:55,04/02/2016,04/2016,4,2016,,Shane Labella,Margaret Rekuc
60,3536864,712948,calls,713474,1459660411,2016-04-03 05:13:31,04/03/2016,04/2016,4,2016,,Shane Labella,Sachiko Sanabria
61,4934498,712948,emails,713474,1460159085,2016-04-08 23:44:45,04/08/2016,04/2016,4,2016,,Shane Labella,Sachiko Sanabria
62,3537797,712948,calls,713743,1459667502,2016-04-03 07:11:42,04/03/2016,04/2016,4,2016,,Shane Labella,Sherilyn Coopwood
63,3934122,712948,calls,713743,1462774869,2016-05-09 06:21:09,05/09/2016,05/2016,5,2016,,Shane Labella,Sherilyn Coopwood
64,3538767,712948,calls,654674,1459675601,2016-04-03 09:26:41,04/03/2016,04/2016,4,2016,,Shane Labella,Jacelyn Mork
65,3540698,712948,calls,705808,1459690705,2016-04-03 13:38:25,04/03/2016,04/2016,4,2016,,Shane Labella,Donald Jenquin
66,3540976,712948,calls,714298,1459692733,2016-04-03 14:12:13,04/03/2016,04/2016,4,2016,,Shane Labella,Sallie Page
67,3542502,712948,calls,779637,1459704928,2016-04-03 17:35:28,04/03/2016,04/2016,4,2016,,Shane Labella,Marcus Crawford
68,3546319,712948,calls,741218,1459735361,2016-04-04 02:02:41,04/04/2016,04/2016,4,2016,,Shane Labella,Nancy Gilbert
69,3550692,712948,calls,749130,1459769671,2016-04-04 11:34:31,04/04/2016,04/2016,4,2016,,Shane Labella,Austin Gomez
70,3553256,712948,calls,601046,1459789527,2016-04-04 17:05:27,04/04/2016,04/2016,4,2016,,Shane Labella,Porfirio Kandel
71,3560856,712948,calls,777600,1459849548,2016-04-05 09:45:48,04/05/2016,04/2016,4,2016,,Shane Labella,Heather Militano
72,3561369,712948,calls,718851,1459853428,2016-04-05 10:50:28,04/05/2016,04/2016,4,2016,,Shane Labella,Selene Bollinger
73,3563922,712948,calls,654495,1459873276,2016-04-05 16:21:16,04/05/2016,04/2016,4,2016,,Shane Labella,Daniel Summers
74,3563965,712948,calls,689253,1459873556,2016-04-05 16:25:56,04/05/2016,04/2016,4,2016,,Shane Labella,Freeman Scicutella
75,3565970,712948,calls,677662,1459889697,2016-04-05 20:54:57,04/05/2016,04/2016,4,2016,,Shane Labella,Leroy Hughes
76,3578157,712948,calls,656382,1459984640,2016-04-06 23:17:20,04/06/2016,04/2016,4,2016,,Shane Labella,Vincent Phelps
77,3580110,712948,calls,713701,1459999740,2016-04-07 03:29:00,04/07/2016,04/2016,4,2016,,Shane Labella,Jane Tyler
78,3581877,712948,calls,760709,1460013139,2016-04-07 07:12:19,04/07/2016,04/2016,4,2016,,Shane Labella,Max Abugn
79,3582708,712948,calls,723644,1460019787,2016-04-07 09:03:07,04/07/2016,04/2016,4,2016,,Shane Labella,Maude Landolf
80,3585867,712948,calls,700177,1460044382,2016-04-07 15:53:02,04/07/2016,04/2016,4,2016,,Shane Labella,Dorinda Tinner
81,3590175,712948,calls,708548,1460078206,2016-04-08 01:16:46,04/08/2016,04/2016,4,2016,,Shane Labella,Lanita Claman
82,3590430,712948,calls,672168,1460080184,2016-04-08 01:49:44,04/08/2016,04/2016,4,2016,,Shane Labella,Debbie Mailman
83,3593494,712948,calls,712489,1460103712,2016-04-08 08:21:52,04/08/2016,04/2016,4,2016,,Shane Labella,Della Conner
84,3598935,712948,calls,714142,1460145784,2016-04-08 20:03:04,04/08/2016,04/2016,4,2016,,Shane Labella,Pearle Fedrick
85,3599097,712948,calls,701790,1460146886,2016-04-08 20:21:26,04/08/2016,04/2016,4,2016,,Shane Labella,Connor Rice
86,3606369,712948,calls,668154,1460203587,2016-04-09 12:06:27,04/09/2016,04/2016,4,2016,,Shane Labella,Beverley Spalter
87,3615629,712948,calls,688643,1460276732,2016-04-10 08:25:32,04/10/2016,04/2016,4,2016,,Shane Labella,Melodee Hugron
88,3615630,712948,calls,713639,1460276737,2016-04-10 08:25:37,04/10/2016,04/2016,4,2016,,Shane Labella,Juan Walsh
89,3619228,712948,calls,714116,1460304900,2016-04-10 16:15:00,04/10/2016,04/2016,4,2016,,Shane Labella,Brad Trapanese
90,3801958,712948,calls,714116,1461736446,2016-04-27 05:54:06,04/27/2016,04/2016,4,2016,,Shane Labella,Brad Trapanese
91,3627756,712948,calls,733599,1460372243,2016-04-11 10:57:23,04/11/2016,04/2016,4,2016,,Shane Labella,Christy Jellerson
92,3627873,712948,calls,728764,1460373127,2016-04-11 11:12:07,04/11/2016,04/2016,4,2016,,Shane Labella,Virgina Begor
